sl,number in book,country,Title,text
18,1,Netherlands,The new normal,"Injustice is embodied in the public urban spaces that are decreasing in size, that are replaced by investment projects, and that are restricting what we would like to call urban freedom. Public spaces are slowly being privatized in the name of public private partnerships for the sake of developing urban projects. This is creating a limit on the urban freedom, where going to a public area comes with a manual of Do’s and Don’ts. This calls us to look back onto our cities, to give more freedom to the public, to make room for spontaneity in urban planning, and to let our cities be shaped by those who inhabit them."
19,1,Netherlands,The new normal,"Injustice in embodied in the infrastructure, specifically the health dimension of our cities. During the pandemic, safety was a privilege and that is the most basic human needs. Inequalities were not only available on a city scale, but furthermore on a world scale. Like cities, different countries had access to different tools, and many people had to die because of lack of access, because of injustice. We need to rethink the priorities in our city’s infrastructure, are bridges more important than public hospitals?"
20,1,Netherlands,The new normal,"Injustice can be found in all the layers, but to achieve the Just City, we, as society, should let go of the slogans we have become so impartial to, and create a new normal where we put forward our values of"
21,1,Netherlands,The new normal,INTEGRATION
22,1,Netherlands,The new normal,EQUALITY
23,1,Netherlands,The new normal,ACCESS
24,1,Netherlands,The new normal,COMMUNITY
25,1,Netherlands,The new normal,SPONTANEITY
26,1,Netherlands,The new normal,SAFETY
27,1,Netherlands,The new normal,"and most importantly,"
28,1,Netherlands,The new normal,HOPE.
29,2,Belgium,Educating towards a just city,Introduction: Educating towards the just city
30,2,Belgium,Educating towards a just city,"We imagine a city in which religion, origin, skin color, gender, are not confronted, but enriched. We dream of a colorful and living city, home to diverse people and access-ible to all its citizens, where all have an equal right to the city."
31,2,Belgium,Educating towards a just city,"In this manifesto, we emphasize the educational system, as it is the main structural pillar of our society and the precondition to prepare all in creating, living, and fostering a just city. Inspiring generations by giving the example, professionally and humanely. This is the most efficient way to synchronize intellectually, spiritually, and ideolog-ically."
32,2,Belgium,Educating towards a just city,But how could governments implement such a shift? How do we ensure that all citizens are represented by the cities they live in? How do we make politics more accessible for future generations?
33,2,Belgium,Educating towards a just city,Governments
34,2,Belgium,Educating towards a just city,A just city is supported by a government that fosters critical learning for both its citizens and themselves.
35,2,Belgium,Educating towards a just city,"The government should create laws with popular assemblies, exchanging knowledge that will ensure representative cities."
36,2,Belgium,Educating towards a just city,"If technology can create an important step towards the Universal Human right to housing, it should not be treated as a financial product. Technologies able to create a breakthrough in any structural aspect of this pyramid should be shared horizontally with the common goal of creating a just city."
37,2,Belgium,Educating towards a just city,Civic participation within the political realm has to be promoted by governments.
38,2,Belgium,Educating towards a just city,"Engage in accumulating educational projects and at the same time building the citizenry. This participative way of educating should be applied on an international level, giving the right to citizens to create their history, with a local identity and experience."
39,2,Belgium,Educating towards a just city,Citizens
40,2,Belgium,Educating towards a just city,"Citizens have to be concerned by the realities they live in and by their actions, forcing governments to create a dialogue. Both should have the same determination to work with each other."
41,2,Belgium,Educating towards a just city,"“Man is, by nature, a political animal” (Hatemi & McDermott, 2011). We complain, criticize, and if for a reason or another, we would stop complaining, would we still be human?"
42,2,Belgium,Educating towards a just city,"Transforming the feeling of hopelessness into action. We are used to seeing social movements from a mainstream western perspective, highlighting names such as Ernesto “El Ché” Guevarra or Nelson Mandela. We end up feeling powerless when thinking about how a single person could make that difference? A hopeless feeling that often prevents us from taking action."
43,2,Belgium,Educating towards a just city,"We should not forget that history is made by the millions of individuals believing in the same cause. This cause obligates us to debate, question our beliefs, compromise, and learn, and in this cycle, taking responsibility for our common future. The decision-makers of tomorrow will then not only be politicians or urban planners, every citizen will be."
44,2,Belgium,Educating towards a just city,"But how do we prepare citizens of tomorrow for those challenging questions? We think that education comes in various forms, such as popular participation that lead to participatory democracies, requiring multidisciplinary projects."
45,2,Belgium,Educating towards a just city,"Therefore, the power of knowledge has to be shared horizontally between decision-makers and citizens, trusting and guiding them as a teacher that doesn’t teach but listens. We will then “design for the people‘s basic needs” (Papanek, 2005)."
46,2,Belgium,Educating towards a just city,Universities
47,2,Belgium,Educating towards a just city,"Universities must strengthen their relationships with governments, in such to consolidate the communication between Government, University, and Students."
48,2,Belgium,Educating towards a just city,"Why do most of the students, leaving architectural schools, struggle to design for the “real world “? What should we learn to be empathic and intuitive architects?"
49,2,Belgium,Educating towards a just city,"Remove automation from architectural education (defamiliarization). For the process of education to not become automatic and habitual, it constantly needs to defamiliarize itself - looking at common things from new, unknown perspectives."
50,2,Belgium,Educating towards a just city,"Collaboration and interdisciplinarity. Complex, hard-to-define issues must be addressed through collaboration between different disciplines."
51,2,Belgium,Educating towards a just city,"Officially stating our support/position against the status quo, addressing and combating the hegemonic power structures - tutors being an example for students and vice versa. Engage with the public outside of the school, creating a common agency with its students. This manifesto is the proof of a well-coordinated and shared vision between institution and individual."
52,2,Belgium,Educating towards a just city,"Universities have to be transparent about the present processes in society, giving insight into factual issues and potential solutions. Giving students empirical information on the newest possibilities for a more sustainable, participative, and inclusionary future. Create openness for young relevant input through debate or eventual surveys."
53,2,Belgium,Educating towards a just city,Schools
54,2,Belgium,Educating towards a just city,"Education must be shared, for that reason, we should not wait for people to get into higher education to teach empathy and critical thinking. The well-communication between Government and Universities must be constructed as a philosophy for the youngest generations."
55,2,Belgium,Educating towards a just city,"How should education in schools lead towards a just city? When we are children, the language or ethnicity of others doesn’t matter much to understand each other. We need to strengthen and promote these qualities because these children/pupils are going to be the citizens of tomorrow and contribute to a just city."
56,2,Belgium,Educating towards a just city,"Defining problems, rather than solving them. How issues are addressed is even more important than the solutions themselves. This principle needs to be taught in educational institutions, starting from kindergarteners, schools, and universities. Therefore, empathy, curiosity, and intuition are important tools to generate consequent designs."
57,2,Belgium,Educating towards a just city,"Introducing new school subjects. How should schools of tomorrow be designed so that children learn that all people have the right to the city? A school subject where children could playfully engage with their living environment and learn that everyone can contribute to it as individuals, as a group, claiming the right to the city by being in the city. Educating kids from a young age to be critical about spirituality, freedom, and religions. Give them enough space to be themselves amongst debates and decision making."
58,2,Belgium,Educating towards a just city,Conclusions
59,2,Belgium,Educating towards a just city,"New laws and policies must be created to protect and ensure the right to participate in projects. By sharing knowledge, at every socio-economic level, we will create projects that relate to the daily life of citizens, letting everyone create an identity with their city. This concept often clashes with the present education system, as it perpetuates the financial and political structure of nowadays, which only replicates the error of past centuries in housing policies."
60,2,Belgium,Educating towards a just city,"Every level of society should keep a perpetual motion of mutual education. Only in that way, cities would finally represent all citizens, respecting their social context, and improving their quality of life."
61,2,Belgium,Educating towards a just city,"Educating in schools and universities, it is important to spend enough time defining the non-obvious issues of “pre-defined” problems through collaboration and interdisciplinarity. Teaching open-mindedness for unexpected results, responsively and responsibly."
62,2,Belgium,Educating towards a just city,"If education and learning could be applied like this, the strictly hierarchical pyramid then becomes a converging spiral where all work together towards a just city."
63,3,USA,Covid – 19 RESET- for the Just City,“COVID 19 DIALOGUE RESET FOR THE JUST CITY”
64,3,USA,Covid – 19 RESET- for the Just City,WE’RE IN THIS TOGETHER
65,3,USA,Covid – 19 RESET- for the Just City,The devastating impact of the COVID 19 pandemic has clearly revealed the essential roles that spatial injustice victims play to ensure well-functioning societies and a healthy global economy. 
66,3,USA,Covid – 19 RESET- for the Just City,"They’re the backbone of daily commerce, ensuring food security as restaurant and grocery store workers, providing services for global transportation networks that move people and goods, as teachers, first responders, health facility workers, and providing domestic services for the privileged across the globe."
67,3,USA,Covid – 19 RESET- for the Just City,REALIZING AN OPPORTUNITY
68,3,USA,Covid – 19 RESET- for the Just City,"At the very least, the pandemic can give us pause and a time to reflect on our world and our cities and how they might be better going forward. "
69,3,USA,Covid – 19 RESET- for the Just City,"We propose investing in this HUMAN INFRASTRUCTURE, the backbone of our cities; this is the critical path forward to building a better city."
70,3,USA,Covid – 19 RESET- for the Just City,"A focus on housing, transportation, health, and jobs for this long-neglected resource will result in a better life and city for all!"
71,3,USA,Covid – 19 RESET- for the Just City,RECOGNIZE
72,3,USA,Covid – 19 RESET- for the Just City,THE USE OF FEAR
73,3,USA,Covid – 19 RESET- for the Just City,Hierarchy has always accompanied growth in a society’s population.
74,3,USA,Covid – 19 RESET- for the Just City,"While Hierarchy may bring orderliness and structure (which can be a common good), it can also be devoted strictly to the well-being of those on top; with all manner of cruelty used to preserve it. "
75,3,USA,Covid – 19 RESET- for the Just City,"Racism, religion and socio-economic status have long been used to maintain dominance and classify people as somehow less-than-human - as outsiders. Fear and mistreatment of the vulnerable has gone unchecked for too long."
76,3,USA,Covid – 19 RESET- for the Just City,RECOGNIZE
77,3,USA,Covid – 19 RESET- for the Just City,A COMMON ENEMY
78,3,USA,Covid – 19 RESET- for the Just City,"Rather than make each other enemies by using fear as a means of running our societies and cities, we need to find a common ground and respect and value each other as humans."
79,3,USA,Covid – 19 RESET- for the Just City,"We must understand that we are all deserving of support and when parts of our society are exploited and mistreated, we all suffer."
80,3,USA,Covid – 19 RESET- for the Just City," Surely, we can find common enemies in homelessness, racism, and urban deterioration."
81,3,USA,Covid – 19 RESET- for the Just City,RECOGNIZE
82,3,USA,Covid – 19 RESET- for the Just City,THE RIGHT TO ADEQUATE HOUSING
83,3,USA,Covid – 19 RESET- for the Just City,"Global housing inequity has persisted even 70 plus years after adequate housing was recognized as part of the right to an adequate standard of living in the 1948 Universal Declaration of Human Rights and in the 1966 International Covenant on Economic, Social and Cultural Rights (ICESCR)."
84,3,USA,Covid – 19 RESET- for the Just City, Today over a billion people around the world live in life or health threatening conditions. 
85,3,USA,Covid – 19 RESET- for the Just City,The bottom line is that housing is a basic human right and ensuring this right is a critical investment in the Human Infrastructure of our cities.
86,3,USA,Covid – 19 RESET- for the Just City,RECOGNIZE ESSENTIAL NEEDS
87,3,USA,Covid – 19 RESET- for the Just City,"Safe, reliable public transportation is to key to the execution of the new just city. "
88,3,USA,Covid – 19 RESET- for the Just City,"Not only is it necessary to get individuals from their housing to jobs, amenities, and healthy spaces; public transportation comes with its own inherent benefits."
89,3,USA,Covid – 19 RESET- for the Just City," In the US alone, Public transportation employs more than 420,000 people and every $1 billion invested in public transportation supports and creates more than 50,000 jobs. "
90,3,USA,Covid – 19 RESET- for the Just City,There is a distinct and glaring need as 45% of Americans alone have no access to public transportation.
91,3,USA,Covid – 19 RESET- for the Just City, Investment in this infrastructure is an investment in the human infrastructure of our cities.
92,3,USA,Covid – 19 RESET- for the Just City,RECOGNIZE AND ADDRESS GLARING DISPARITIES
93,3,USA,Covid – 19 RESET- for the Just City,COVID has highlighted the disparities between “haves and have-nots.” 
94,3,USA,Covid – 19 RESET- for the Just City,"Not only in the higher infection and mortality rates that have disproportionately affected minorities and those with lower income, but also the economic impact as most of the jobs lost fall into the category of lower wage and informal/gig workers."
95,3,USA,Covid – 19 RESET- for the Just City, We have seen that governments have the capacity to care for their people in these trying times through wage replacement or enhanced unemployment programs as well as eviction and utility turn off protections for the most vulnerable. 
96,3,USA,Covid – 19 RESET- for the Just City,This needs to be the norm because opportunities for fair wages and housing are a basic human right.
97,3,USA,Covid – 19 RESET- for the Just City,BUILD BACK SUSTAINABLE
98,3,USA,Covid – 19 RESET- for the Just City,"Going forward, our cities may look and function differently. "
99,3,USA,Covid – 19 RESET- for the Just City,"Due to the success of telecommuting during the pandemic, fewer people will be working in office buildings. "
100,3,USA,Covid – 19 RESET- for the Just City,The resulting reduction in traffic and needed space provides an opportunity to reprioritize and alter our cities. 
101,3,USA,Covid – 19 RESET- for the Just City,"Formerly congested streets can be closed and become walkable areas, allowing for greater public outdoor spaces. "
102,3,USA,Covid – 19 RESET- for the Just City,The reduced pollution from enhanced public transportation and lower traffic provide a healthy benefit to all citizens. 
103,3,USA,Covid – 19 RESET- for the Just City,The thoughtful design of these newly walkable areas and prospective green spaces are an investment in the health component of the Human Infrastructure of our cities. 
104,3,USA,Covid – 19 RESET- for the Just City,Let’s embrace a vision of sustainable and resilient cities for unpredicted and uncertain futures. 
105,3,USA,Covid – 19 RESET- for the Just City,A vision with strong focus on quality of life and green infrastructure. 
106,3,USA,Covid – 19 RESET- for the Just City,"Let’s work together to create egalitarian solutions focused on shared goals and value systems; solutions that strongly involve the needed ecological paradigm shifts in political thinking, economic activities, and educational systems."
107,3,USA,Covid – 19 RESET- for the Just City,"RESET AND RENEW - OUR MINDSETS, OUR SOLIDARITY, OUR VISION"
108,3,USA,Covid – 19 RESET- for the Just City,"All cities have different needs, but the basics of effective public transportation, stable living-wage jobs, suitable amenities, and shared, healthy, safe public spaces must be priorities in every city in order to provide a better life for everyone especially their most underserved populations. "
109,3,USA,Covid – 19 RESET- for the Just City,"With the understanding that all people make essential contributions in our societies (regardless of their status), it is time to lay claim to our collective power and issue a call to RESTART the spatial injustice conversation; demanding that measurable actions and steps be taken to build back better and eliminate spatial inequities that endanger and diminish the lives of so many people. "
110,3,USA,Covid – 19 RESET- for the Just City,"We must collectively free our minds of the sense of powerlessness, and with a reactivated sense of solidarity, reconnect within our communities, stand together in our renewed sense of power and collectively pursue radical change. "
111,3,USA,Covid – 19 RESET- for the Just City,With renewed vision we can build just cities that we can all be proud of and feel a part of. 
112,3,USA,Covid – 19 RESET- for the Just City,The RESET that COVID provides gives us an opportunity to build back better cities that look and function differently and better than they did before.
113,3,USA,Covid – 19 RESET- for the Just City,"RESET, RENEW, REBUILD A COLLECTIVE COMMITMENT"
114,3,USA,Covid – 19 RESET- for the Just City,TO SPATIAL EQUALITY AND HUMAN INFRASTRUCTURE
115,4,Italy,Towards the Sensitive City,TOWARDS THE SENSITIVE CITY
116,4,Italy,Towards the Sensitive City,Environmentally | Socially | Economically
117,4,Italy,Towards the Sensitive City,moving from a quantity to a quality-oriented approach
118,4,Italy,Towards the Sensitive City,"“Affordability is also a question of access. Rethinking transportation networks so that people can get where they need to go quickly and inexpensively is an important step toward creating a care-oriented, feminist city”"
119,4,Italy,Towards the Sensitive City,"L.Kern, Feminist City: Claiming Space in the Man-Made World, VERSO, 2019"
120,4,Italy,Towards the Sensitive City,The SENSITIVE CITY is
121,4,Italy,Towards the Sensitive City,INCLUSIVE
122,4,Italy,Towards the Sensitive City,"for all citizens, notwithstanding their cultural background, gender, income, ethnicity, religious beliefs"
123,4,Italy,Towards the Sensitive City,ACCESSIBLE
124,4,Italy,Towards the Sensitive City,in relation to:
125,4,Italy,Towards the Sensitive City,"physical, spatial, social resources of the natural environment"
126,4,Italy,Towards the Sensitive City,public space and infrastructures equally spread
127,4,Italy,Towards the Sensitive City,information
128,4,Italy,Towards the Sensitive City,free from architectural barriers
129,4,Italy,Towards the Sensitive City,SAFE
130,4,Italy,Towards the Sensitive City,safer streets
131,4,Italy,Towards the Sensitive City,safer spaces
132,4,Italy,Towards the Sensitive City,safer environment
133,4,Italy,Towards the Sensitive City,RESILIENT and FLEXIBLE
134,4,Italy,Towards the Sensitive City,facing climate odds and other systemic challenges
135,4,Italy,Towards the Sensitive City,What a JUST-CITY means TODAY for us?
136,4,Italy,Towards the Sensitive City,"We strongly believe that the JUST-CITY is a city housing and the right to the city is recognised as universal rights. Our work as spatial planners has a strong impact on people. We believe that to design the JUST-CITY we need to translate ethical and social awareness into technical practices. When we design cities, indeed, we design citizenship. The today JUST-CITY should be organic and harmonious. We strongly believe that the city should be flexible and interactive in all its aspects, both urban and ecological."
137,4,Italy,Towards the Sensitive City,"Nowadays, cities face multiple challenges: COVID-19 pandemic together with climate change and socio-economic conditions have stressed the already existing spatial and social constant injustices."
138,4,Italy,Towards the Sensitive City,"The global pandemic has underlined the spatial weaknesses and inequalities in the contemporary city. In the past, rationalist and industrial cities have been planned according to their functions and zoning techniques, which produced man-oriented and discriminatory spaces of the city. We consider that city planning should incorporate the principles of universal design and accessibility to overcome the barriers of discrimination and segregation. The alienation generated in the past has shown us that today we must plan cities for the people without any distinction."
139,4,Italy,Towards the Sensitive City,What technical approach to planning the JUST-CITY?
140,4,Italy,Towards the Sensitive City,"We support more versatile tools, rather than a legally binding planning system towards flexibility."
141,4,Italy,Towards the Sensitive City,"New planning tools must be able to adapt to the constantly evolving needs of citizens, deeply affecting the dynamic flows of the city itself capturing urban dynamism."
142,4,Italy,Towards the Sensitive City,How can these ideas be translated into a spatial form?
143,4,Italy,Towards the Sensitive City,"COMPACT CITY. The different areas of the JUST-CITY must be equally enhanced and better interconnected. JUST-CITY is not determined simply by their centres; on the contrary, peripheries are cities’ backbone and their fuel."
144,4,Italy,Towards the Sensitive City,ORGANIC CITY. The JUST-CITY must be perceived as a whole rather than a collection of fragmented areas. The infrastructure network should be expanded and facilitated to ensure the harmonisation of the city transport system. Sustainable and affordable mobility is essential in guaranteeing equal access to opportunities in the city.
145,4,Italy,Towards the Sensitive City,"POLYCENTRIC CITY. Different districts of one city, more cities within a wider area can offer unique resources, knowledge and good practices. We must develop a valuable infrastructures network to foster interdependence and cooperation."
146,4,Italy,Towards the Sensitive City,Which are the main principles implemented in the JUST-CITY?
147,4,Italy,Towards the Sensitive City,RIGHT TO HOUSING
148,4,Italy,Towards the Sensitive City,"Housing must be guaranteed as a public responsibility, preserving the identity of the city, which is given by its inhabitants and its everyday dynamics."
149,4,Italy,Towards the Sensitive City,"If city recognises housing as a universal human right, they should provide policies that increase and incorporate affordable housing within urban settlements. We believe that, in guaranteeing the right to housing, it is inseparable to certify an aesthetic value that is sustained for different types of housing."
150,4,Italy,Towards the Sensitive City,"Free accessible toilets. The JUST-CITY must provide all sort of public services, in particular those affecting not only the hygiene and health of citizens but truly affecting their dignity."
151,4,Italy,Towards the Sensitive City,SUSTAINABILITY
152,4,Italy,Towards the Sensitive City,"Planners must ensure the attractiveness of the JUST-CITY, by providing the spatial contexts able to support more sustainable attitudes. For example, by creating a more integrated system of infrastructure that encompasses different types of sustainable mobility (bike/skate/scooters/electric car-pooling and sharing)."
153,4,Italy,Towards the Sensitive City,"The JUST-CITY must embrace the diversity of its new residents, which is the added value to the city evolving identity, engage them in discussions about their social and economic wellbeing and strengthen the sense of community."
154,4,Italy,Towards the Sensitive City,MONITORING
155,4,Italy,Towards the Sensitive City,"Use of environmental, social and economic indicators, aimed at evaluating people wellbeing and effective benefits of policies implementation."
156,4,Italy,Towards the Sensitive City,LOCAL ECONOMY
157,4,Italy,Towards the Sensitive City,"Promoting neighbourhood businesses, not the use of frantic online shopping (eg. amazon), yields not only spatial benefits but also social and economic ones, by enhancing the sense of community while fostering the citizens’ livelihood."
158,4,Italy,Towards the Sensitive City,PUBLIC GREEN AREAS
159,4,Italy,Towards the Sensitive City,"The design of the 15 minutes city must guarantee the accessibility to the green areas of the city. Residents must be empowered to gain access to the management of the green areas in their respective neighbourhoods, to foster a greater sense of belonging."
160,4,Italy,Towards the Sensitive City,Who is involved in this process?
161,4,Italy,Towards the Sensitive City,WE DREAM. WE LISTEN. WE SUPPORT. WE PLAN.
162,4,Italy,Towards the Sensitive City,"In order to achieve the just city that we envision, it is fundamental to establish meaningful ways of engagement and interaction among all actors."
163,4,Italy,Towards the Sensitive City,Could a woman walk alone at night in 2021? Let us start with safety.
164,4,Italy,Towards the Sensitive City,UNPRECEDENT TIMES CALL FOR UNPRECEDENTED SOLUTIONS! ACTIONS.
165,4,Italy,Towards the Sensitive City,"Now is the time to claim the change we want to see in our cities. In our space. In our societies. Now is the time to ACT. We call on all planners, architects, public officials and all persons who believe that the city belongs to them, wherever you are, and no matter how small or big the role you play, we call on you to step up and ACT. Reach out. Inform. Educate. Participate. Engage. Cooperate. Design. Create the JUST CITY you want to live in. We call on this generation of young planners, architects, on the youth of all disciplines, to carry the values and principles of spatial and social justice and with innovation, and with kindness, build the JUST and EQUITABLE future you demand. Our FUTURE."
166,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,RECOGNIZING RIGHTS IS NOT ENOUGH !!
167,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Throughout history, a series of human rights have been established to address social injustices in cities."
168,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"They represent awareness tools to humanize our living environments, and they aim for a dignified quality of life for all."
169,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"At first sight, we can assume that mere recognition of human rights to water, adequate housing, and to the city services and spaces, for instance, would lead to improving our living conditions."
170,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"A more in-depth look leaves us thinking that human rights in isolation – even when incorporated in legal frameworks- have not signified major changes, and our societies are still facing economic inequalities, insecurity, and extreme poverty conditions."
171,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"We believe in citizens' commitment to develop, spread, and replicate values of solidarity, empathy, respect, inclusion, and resilience as motors for the just city transformation and consolidation."
172,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"However, real changes are achieved when such values become embedded in all stakeholder's interests."
173,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Words like collaboration, integration, and development cannot only act as jargon to embellish populist's manifestations of 'good governance' and adequate rights compliance."
174,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"As citizens, we feel that people in power have so far kept us stuck in hopeful words with no actions."
175,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,We call for all people living in cities to become 'administrators of justice'.
176,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,To empower and support each other to become fearless in raising our voices to claim our rights. To maintain collective action to hold our governments and groups in power accountable for materializing dignified lifestyles through socio-centered urban planning and inclusive policymaking.
177,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,We no longer want our cities to be built on technocratic projects based on economic interests usually disguised under the word 'growth'.
178,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Policies that are not focused on people should be eliminated and overwritten with inclusive propositions, which enhance opportunities for the urban poor to access their human rights."
179,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Governments and the authorities need to demonstrate their alignments towards citizens as a whole, not only to social elites."
180,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,Cities' expected development should be re-configured under the idea of creating a balanced synergy between human beings and their habitat.
181,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,We urge civil society to participate in city planning processes for ourselves and our future generations.
182,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"We are eager to have an active role in development processes, not only validating what the public and private institutions have defined for our contexts."
183,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,They can also be those actors who can contribute to local knowledge and expertise in future city transformations.
184,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Thus, we claim to legitimize our local actions and innovations to enhance the cities at the community level."
185,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Indeed, validating and including local and preliminary knowledge in holistic planning processes can first stimulate civil society participation previously, during, and after interventions."
186,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Second, the acknowledgment of the sharing-responsibility about the success of any intervention in our context."
187,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Third, it will increase the sense of belonging that will grant the sustainability of those transformations in the long term."
188,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"We want governments, markets, and civil society to be committed to humanizing the living space: to shape it in different ways that celebrate our identity and diversity."
189,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,We want historically marginalized groups to bloom.
190,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"An absence of integration in planning for indigenous communities, for women, migrants, the ignorance of the rural population's demands, and the blindness towards non-binary individuals have deepened inequalities."
191,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,Such neglection of marginalized groups has sometimes incurred in violence.
192,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"We want our squares, streets, and parks to represent scenarios that embrace and recognize singularities."
193,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"We want to learn from our history, to keep in mind our past mistakes such as racism, discrimination, and all acts of intolerance."
194,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Yet we want to move on; we want safe places to communicate our concerns, discuss possible solutions, and integrate perceptions."
195,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,We want less informality through adequate urban planning that includes the urban poor.
196,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,We claim new forms of property ownership and mix-uses areas that allow individuals and groups of people to exchange services and goods in an equitable and just way while having a dignified habitat.
197,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Promoting diversity in housing rights, individuals and families can access spaces that would not only be a shelter but are flexible enough to create new family incomes."
198,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Incremental housing models, cooperative and other land trust systems ease the housing access to the population with limited incomes."
199,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,Those flexible and adaptive spaces can encourage the resilience capacity for households to overcome economic difficulty situations.
200,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"Similarly, they can encourage community and networking among the neighborhoods"
201,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,"to introduce new economic dynamics and local trading, strengthening more independent and self-sustained communities."
202,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,We advocate for the immediate integration of sustainable and environmental policies.
203,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,We want to be prepared for the natural threats that come with climate change.
204,5,Germany,RECOGNIZING RIGHTS IS NOT ENOUGH !!,We claim for international cooperative action to mitigate the impacts and implement environmentally friendly approaches.
